adresse;code postal;nom;longitude;latitude
41 rue Saint Vulfran;80100 ABBEVILLE;DARTY ABBEVILLE;1.8302585;50.1046295
ZAC Agen Sud Centre Commercial du Midi;47000 AGEN;DARTY AGEN;0.6173103;44.184696
Parc Commercial de la Tremblaye;50180 AGNEAUX;DARTY SAINT LO;-1.131453;49.109152
787 Route de Nimes;30220 AIGUES-MORTES;DARTY AIGUES MORTES;4.1969024;43.5759151
ZAC de la Pioline Les Milles;13290 AIX EN PROVENCE;DARTY AIX-EN-PROVENCE;5.4011455;43.5066435
Route de Mezzavia CC Mezzavia;20167 AJACCIO;DARTY AJACCIO;8.7767478;41.949192
57 RUE AMBROISE CROIZAT;73200 ALBERTVILLE;DARTY ALBERTVILLE;6.3679091;45.6580023
ZAC de FONLABOUR;81000 ALBI;DARTY ALBI;2.108345;43.9199901
Quartier du Mas d'Hours;30100 ALES;DARTY ALES;4.095972;44.1103417
960 Rue du Maquis Albert De Dion;01500 AMBERIEU EN BUGEY;DARTY AMBERIEU EN BUGEY;5.3409395;45.9647038
8, rue Alberes, lieu dit mas alday;66110 AMELIE LES BAINS PALALDA;DARTY AMELIE-LES-BAINS;2.6783392;42.481707
Rue Velasquez Centre Commercial Nord;80080 AMIENS;DARTY AMIENS;2.3006571;49.9225753
1522, Avenue dAntibes;45200 AMILLY;DARTY MONTARGIS;2.732189;47.9731113
ZAC des Pres Parc des expositions;90400 ANDELNANS;DARTY BELFORT;6.8604255;47.6083051
2 rue des Esserts Zone industrielle du Mont Blanc;74100 ANNEMASSE;DARTY ANNEMASSE;6.2642354;46.1979026
Avenue Pre Robert Sud;74200 Anthy sur Leman;DARTY THONON;6.435102;46.350743
2140 Route de Grasse;06600 ANTIBES;DARTY ANTIBES;7.0863206;43.6008444
Centre Commercial du Val de Drome - lieu dit Mi Voie - CD93;26400 AOUSTE SUR SYE;DARTY CREST;5.0358849;44.7218038
ZA LE GRAND CHAMP;38140 APPRIEU;DARTY APPRIEU;5.4256855;45.3443555
59 Avenue de Lancon;84400 APT;DARTY APT;5.3836081;43.8813358
903 rue du point B;01100 ARBENT;DARTY OYONNAX;5.6637444;46.2851413
Zone commerciale le petit coudray;72610 ARCONNAY;DARTY ALENCON;0.0884437;48.4061573
les Portes d'Arcueil Centre Commercial regional la vache noire;94110 ARCUEIL;DARTY ARCUEIL;2.3287433;48.8110302
81 rue Hector Berlioz, Route de Caen;61200 ARGENTAN;DARTY ARGENTAN;-0.0326022;48.7513611
ZAC FOURCHON SUD- AVENUE DU MARECHAL JUIN;13200 ARLES;DARTY ARLES;4.6348719;43.664319
Zone Auchan Longuenesse (a cote du CCV et de lIncroyable);62510 ARQUES;DARTY SAINT OMER;2.2783203;50.731894
104 avenue Winston Churchill;62000 ARRAS;DARTY ARRAS;2.7368061;50.3012219
ZAC de la Martelle ZI Les Paluds;13400 AUBAGNE;DARTY AUBAGNE;5.591796;43.291123
Zone artisanale du Moulon - Rue de la Sardonne;07200 AUBENAS;DARTY AUBENAS;4.4035183;44.6168299
6 rue Emile Reynaud;93300 AUBERVILLIERS;DARTY DESTOCKAGE LA VILLETTE;2.3877474;48.9016397
ZAC AUGNY 2000;57685 AUGNY;DARTY AUGNY METZ;6.1062071;49.0777726
Haut de Galy Centre Commercial Parinor;93600 AULNAY-SOUS-BOIS;DARTY PARINOR;2.4752283;48.9566504
ZAC Porte Oceane, 7 rue du Portugal;56400 AURAY;DARTY AURAY;-3.0079036;47.667014
146 Avenue du General Leclerc;15000 AURILLAC;DARTY AURILLAC;2.4511499;44.9053811
74 Avenue Haussmann;89000 AUXERRE;DARTY AUXERRE;3.5741702;47.8153561
160 avenue Marcou Delanglade;84000 Avignon;DARTY AVIGNON SUD;4.8683936;43.9205778
Zone commerciale Chateau Gaillard;35470 BAIN DE BRETAGNE;DARTY BAIN DE BRETAGNE;-1.6891057;47.8586609
CENTRE COMMERCIAL LOISIRS;34540 BALARUC LE VIEUX;DARTY BALARUC;3.69181;43.4625116
Rue de la Tuilerie Porte de Gramont;31130 Balma;DARTY TOULOUSE GRAMONT;1.4834038;43.6288851
315 rue Liberte;76360 BARENTIN;DARTY BARENTIN;0.9617828;49.537777
42-44 Avenue du Marechal Soult;64100 BAYONNE;DARTY BAYONNE;-1.4911945;43.4869146
Centre Commercial Atoll;49070 BEAUCOUZE;DARTY ANGERS;-0.6265989;47.4847453
2 avenue Descartes ZAC ST-LAZARE;60000 BEAUVAIS;DARTY BEAUVAIS;2.1138709;49.4090536
Zone artisanale le Gouzet;35137 BEDEE;DARTY MONTFORT SUR MEU;-1.9381679;48.1392357
Centre Commercial Les Rives D'Arcins;33130 BEGLES;DARTY BEGLES;-0.5320417;44.7951189
ZA de l'Ousson;01300 BELLEY;DARTY BELLEY;5.7040295;45.759194
97 avenue Paul Doumer (Route de Marmande);24100 BERGERAC;DARTY BERGERAC;0.4778928;44.8326219
24 Rue de la Semaille;27300 BERNAY;DARTY BERNAY;0.5774819;49.0689853
Rue Rene Char ZAC Chateaufarine;25000 BESANCON;DARTY BESANCON 2;5.9529808;47.2191896
3 rue Picardan;34500 BEZIERS;DARTY BEZIERS;3.265828;43.3405103
61 Rue Jean Jaures;95870 BEZONS;DARTY RETRAIT BEZONS;2.2223943;48.9258556
63 RUE JEAN JAURES;95870 BEZONS;PF BEZONS;2.2216107;48.925792
742 avenue de Bordeaux;47300 BIAS;DARTY VILLENEUVE SUR LOT;0.6810852;44.4041286
Parc commercial les Portes du Delta, 5 rue Louis Nicolas Robert;33380 BIGANOS;FNAC DARTY BIGANOS;-0.9587033;44.6348509
1, AVENUE GEORGES BRASSENS;31700 BLAGNAC;DARTY TOULOUSE BLAGNAC;1.3692017;43.6475739
143-155 avenue Gallieni;93140 BONDY;DARTY BONDY;2.4837024;48.9069984
51 route de Rhinau;67860 BOOFZHEIM;DARTY BOOFZHEIM;7.6896428;48.3289739
1 rue Dugay Trouin;33300 BORDEAUX;DARTY BORDEAUX LE LAC;-0.5610079;44.8783014
Parc d'activites du Ponteix;24330 Boulazac Isle Manoire;DARTY PERIGUEUX;0.762772;45.1857537
122 Avenue du General Leclerc;92100 BOULOGNE BILLANCOURT;DARTY BOULOGNE;2.2320178;48.8306909
27 Boulevard Irene Joliot Curie;01000 BOURG-EN-BRESSE;DARTY BOURG-EN-BRESSE;5.2353656;46.2090965
73 rue Isaac Asimov;38300 BOURGOIN JALLIEU;DARTY BOURGOIN JALLIEU;5.2512903;45.5909344
"Lieu-dit ""Touche Saint Porchaire"" Lotissement ""La Triche""";79300 BRESSUIRE;DARTY BRESSUIRE;-0.453565;46.855461
Route de Gouesnou Rond Point de l'Hermitage;29200 BREST;DARTY BREST;-4.468137;48.426871
